"location","province","lon","lat"
"Gouda","Zuid-Holland",4.7106094,52.0114922
"Waalre","Noord-Brabant",5.4476871,51.3876404
"Middelburg","Zeeland",3.6136962,51.4997302
"Etten-Leur","Noord-Brabant",4.6407145,51.5668883
"Huizen","Noord-Holland",5.2577514,52.2962576
"Soest","Utrecht",5.29095,52.17461
"Vlaardingen","Zuid-Holland",4.3399618,51.9075958
"Hoogezand","Groningen",6.7559627,53.1633137
"Horst","Limburg",6.0539238,51.4525002
"Hilversum","Noord-Holland",5.1763518,52.2248095
"Tilburg","Noord-Brabant",5.083076,51.55847
"Berkel-Enschot","Noord-Brabant",5.14118,51.58586
"Staphorst","Overijssel",6.2072973,52.6473009
"Amstelveen","Noord-Holland",4.8467875,52.3025582
"Lelystad","Flevoland",5.4768915,52.5150949
"Naarden","Noord-Holland",5.1633636,52.2957628
"Bladel","Noord-Brabant",5.2154317,51.3667765
"Maassluis","Zuid-Holland",4.2466,51.9230
"Groningen","Groningen",6.5680077,53.2190652
"Woerden","Utrecht",4.8913562,52.0867567
"Zeewolde","Flevoland",5.53636,52.3283
"Oost-Souburg","Zeeland",3.6042063,51.4645556
"Vlissingen","Zeeland",3.57274,51.45274
"Alphen aan den Rijn","Zuid-Holland",4.6561357,52.1343369
"Meppel","Drenthe",6.19776,52.69355
"Wierden","Overijssel",6.5921844,52.3579925
"Baarn","Utrecht",5.2931,52.21115
"Valkenswaard","Noord-Brabant",5.4594497,51.350688
"Eindhoven","Noord-Brabant",5.478633,51.4392648
"Capelle aan den IJssel","Zuid-Holland",4.579397,51.9347521
"Nieuwegein","Utrecht",5.0836117,52.0367152
"Eerbeek","Gelderland",6.066284,52.1049366
"Geldrop","Noord-Brabant",5.5605395,51.424
"Terneuzen","Zeeland",3.8403111,51.3254737
"Pijnacker","Zuid-Holland",4.4342111,52.0200319
"Nootdorp","Zuid-Holland",4.3930456,52.0426094
"Krimpen aan den IJssel","Zuid-Holland",4.5895718,51.9116766
"Enschede","Overijssel",6.89543,52.21871
"Helmond","Noord-Brabant",5.6557686,51.4790956
"Zwolle","Overijssel",6.0943765,52.5089759
"Aalten","Gelderland",6.5809018,51.9285668
"Oirschot","Noord-Brabant",5.3155486,51.5032385
"Boxmeer","Noord-Brabant",5.9450972,51.6486483
"Dalfsen","Overijssel",6.2539934,52.5113182
"Veendam","Groningen",6.8694863,53.1028443
"Heiloo","Noord-Holland",4.711918,52.6016319
"Den Haag","Zuid-Holland",4.3113461,52.0799838
"Oudenbosch","Noord-Brabant",4.5337999,51.5886526
"Haren","Groningen",6.6060907,53.1708731
"Almere","Flevoland",5.216168,52.375092
"Emmeloord","Flevoland",5.7477459,52.7091058
"Arnhem","Gelderland",5.9115982,51.9846929
"Zevenaar","Gelderland",6.0789395,51.9357252
"Wijk bij Duurstede","Utrecht",5.3374602,51.9751343
"Zandvoort","Noord-Holland",4.5307624,52.3713394
"Heerlen","Limburg",5.9773285,50.8876735
"Hoensbroek","Limburg",5.9293385,50.923979
"Zevenbergen","Noord-Brabant",4.6105971,51.6468
"Bussum","Noord-Holland",5.1627465,52.2774207
"Lochem","Gelderland",6.4143596,52.158485
"Epe","Gelderland",5.9837267,52.3467875
"Vaassen","Gelderland",5.9687628,52.2902169
"Franeker","Friesland",5.5419644,53.1881952
"Veldhoven","Noord-Brabant",5.4067441,51.4175727
"Breukelen","Utrecht",5.002675,52.171959
"Zutphen","Gelderland",6.2044441,52.143222
"Rhenen","Utrecht",5.5722196,51.9608761
"Steenbergen","Noord-Brabant",4.3145758,51.58592
"Maastricht","Limburg",5.6909768,50.8512438
"Goor","Overijssel",6.5811051,52.2322129
"Cuijk","Noord-Brabant",5.87416,51.73429
"Best","Noord-Brabant",5.3938665,51.5033671
"Bergeijk","Noord-Brabant",5.3569427,51.3211501
"Lisse","Zuid-Holland",4.5630329,52.2576098
"Winschoten","Groningen",7.0381231,53.1429957
"Venlo","Limburg",6.1688954,51.3702109
"Tegelen","Limburg",6.15683022716294,51.3355873
"Papendrecht","Zuid-Holland",4.6937293,51.8348695
"Winterswijk","Gelderland",6.7224457,51.9747033
"Raalte","Overijssel",6.2718277,52.3857034
"Velp","Gelderland",5.9749903,51.9959147
"Dieren","Gelderland",6.1086682,52.042984
"Dedemsvaart","Overijssel",6.4593207,52.5996262
"Rijssen","Overijssel",6.5211216,52.3080155
"Ulft","Gelderland",6.3784603,51.8981984
"Roosendaal","Noord-Brabant",4.4665925,51.5339208
"Barendrecht","Zuid-Holland",4.5371084,51.8568035
"Den Bosch","Noord-Brabant",5.3031044,51.6889351
"Rosmalen","Noord-Brabant",5.3617341,51.7185792
"Hoofddorp","Noord-Holland",4.6673888,52.3028148
"Nieuw Vennep","Noord-Holland",4.6214288,52.2689796
"Badhoevedorp","Noord-Holland",4.7844704,52.3388803
"Vught","Noord-Brabant",5.2893308,51.656821
"Leidschendam","Zuid-Holland",4.3946774,52.0861654
"Voorburg","Zuid-Holland",4.3558561,52.0703201
"Roden","Drenthe",6.4273883,53.1404778
"Eibergen","Gelderland",6.6511683,52.1032685
"Amersfoort","Utrecht",5.3896944,52.1562499
"Hoogland","Utrecht",5.376319,52.1870786
"Oldenzaal","Overijssel",6.9322,52.21871
"Beek","Limburg",5.7936243,50.9399405
"Berkel en Rodenrijs","Zuid-Holland",4.4739774,51.9911323
"Bergschenhoek","Zuid-Holland",4.5016883,51.9894164
"Bleiswijk","Zuid-Holland",4.5310837,52.0109579
"Prinsenbeek","Noord-Brabant",4.7140782,51.6046182
"Katwijk","Zuid-Holland",4.4146372,52.2005078
"Rijnsburg","Zuid-Holland",4.4391096,52.1892954
"Losser","Overijssel",7.0047679,52.2621361
"Valkenburg","Limburg",5.8312518,50.8647531
"Wolvega","Friesland",5.777043,53.0923689
"Heerhugowaard","Noord-Holland",4.8326672,52.6631484
"Volendam","Noord-Holland",5.0683538,52.4963695
"Raamsdonksveer","Noord-Brabant",4.8699789,51.702246
"Oosterwolde","Friesland",5.777043,53.0923689
"Deurne","Noord-Brabant",5.7914611,51.4611926
"Hoogeveen","Drenthe",6.4759313,52.7202393
"Wassenaar","Zuid-Holland",4.4012224,52.1425779
"Goes","Zeeland",3.8897596,51.5031033
"Elburg","Gelderland",5.8407262,52.4452839
"Uden","Noord-Brabant",5.6148605,51.6590888
"Elst","Gelderland",5.8452555,51.9187914
"Assendelft","Noord-Holland",4.7470219,52.475401
"Koog aan de Zaan","Noord-Holland",4.8071394,52.4620521
"Krommenie","Noord-Holland",4.7661309,52.4952639
"Wormerveer","Noord-Holland",4.7876453,52.4952711
"Zaandam","Noord-Holland",4.8298607,52.4424926
"Stein","Limburg",5.7641925,50.9672524
"Almelo","Overijssel",6.6630043,52.3561897
"Noordwijkerhout","Zuid-Holland",4.4905914,52.2628633
"Schiedam","Zuid-Holland",4.4019149,51.91718
"Westervoort","Gelderland",5.98026,51.96159
"Bergen op Zoom","Noord-Brabant",4.2871293,51.4958265
"Halsteren","Noord-Brabant",4.2767935,51.5277288
"Reuver","Limburg",6.078339,51.283652
"Weert","Limburg",5.7085827,51.2531334
"Emmen","Drenthe",6.8939001,52.788937
"Klazienaveen","Drenthe",6.9854787,52.7253284
"Sassenheim","Zuid-Holland",4.5196724,52.2246701
"Voorhout","Zuid-Holland",4.4886562,52.2244226
"Wageningen","Gelderland",5.6634279,51.9750824
"Nederweert","Limburg",5.7542751,51.2860617
"Echt","Limburg",5.8719765,51.1073016
"Veenendaal","Utrecht",5.5539239,52.0259814
