"ppn","city","year","type","freq"
412869594,"Aalsmeer",1955,"advertentie",43
412869594,"Aalsmeer",1955,"artikel",65
412869594,"Aalsmeer",1955,"familiebericht",3
412869594,"Aalsmeer",1956,"advertentie",32
412869594,"Aalsmeer",1956,"artikel",80
412869594,"Aalsmeer",1956,"familiebericht",1
412869594,"Aalsmeer",1956,"illustratie met onderschrift",2
412869594,"Aalsmeer",1957,"advertentie",42
412869594,"Aalsmeer",1957,"artikel",68
412869594,"Aalsmeer",1957,"familiebericht",4
412869594,"Aalsmeer",1957,"illustratie met onderschrift",3
412869594,"Aalsmeer",1958,"advertentie",42
412869594,"Aalsmeer",1958,"artikel",96
412869594,"Aalsmeer",1958,"familiebericht",5
412869594,"Aalsmeer",1958,"illustratie met onderschrift",3
412869594,"Aalsmeer",1959,"advertentie",45
412869594,"Aalsmeer",1959,"artikel",125
412869594,"Aalsmeer",1959,"familiebericht",1
412869594,"Aalsmeer",1959,"illustratie met onderschrift",2
412869594,"Aalsmeer",1960,"advertentie",56
412869594,"Aalsmeer",1960,"artikel",83
412869594,"Aalsmeer",1960,"familiebericht",1
412869594,"Aalsmeer",1961,"advertentie",82
412869594,"Aalsmeer",1961,"artikel",103
412869594,"Aalsmeer",1961,"familiebericht",6
412869594,"Aalsmeer",1961,"illustratie met onderschrift",3
412869594,"Aalsmeer",1962,"advertentie",88
412869594,"Aalsmeer",1962,"artikel",125
412869594,"Aalsmeer",1962,"familiebericht",8
412869594,"Aalsmeer",1962,"illustratie met onderschrift",1
412869594,"Aalsmeer",1963,"advertentie",73
412869594,"Aalsmeer",1963,"artikel",117
412869594,"Aalsmeer",1963,"familiebericht",6
412869594,"Aalsmeer",1963,"illustratie met onderschrift",2
412869594,"Aalsmeer",1964,"advertentie",79
412869594,"Aalsmeer",1964,"artikel",116
412869594,"Aalsmeer",1964,"familiebericht",6
412869594,"Aalsmeer",1964,"illustratie met onderschrift",4
412869594,"Aalsmeer",1965,"advertentie",82
412869594,"Aalsmeer",1965,"artikel",98
412869594,"Aalsmeer",1965,"familiebericht",10
412869594,"Aalsmeer",1965,"illustratie met onderschrift",5
412869594,"Aalsmeer",1966,"advertentie",87
412869594,"Aalsmeer",1966,"artikel",114
412869594,"Aalsmeer",1966,"familiebericht",10
412869594,"Aalsmeer",1966,"illustratie met onderschrift",2
412869594,"Aalsmeer",1967,"advertentie",123
412869594,"Aalsmeer",1967,"artikel",96
412869594,"Aalsmeer",1967,"familiebericht",5
412869594,"Aalsmeer",1968,"advertentie",163
412869594,"Aalsmeer",1968,"artikel",61
412869594,"Aalsmeer",1968,"familiebericht",10
412869594,"Aalsmeer",1968,"illustratie met onderschrift",2
412869594,"Aalsmeer",1969,"advertentie",164
412869594,"Aalsmeer",1969,"artikel",74
412869594,"Aalsmeer",1969,"familiebericht",12
412869594,"Aalsmeer",1970,"advertentie",141
412869594,"Aalsmeer",1970,"artikel",67
412869594,"Aalsmeer",1970,"familiebericht",4
412869594,"Aalsmeer",1971,"advertentie",106
412869594,"Aalsmeer",1971,"artikel",51
412869594,"Aalsmeer",1971,"familiebericht",7
412869594,"Aalsmeer",1971,"illustratie met onderschrift",1
412869594,"Aalsmeer",1972,"advertentie",118
412869594,"Aalsmeer",1972,"artikel",55
412869594,"Aalsmeer",1972,"familiebericht",7
412869594,"Aalsmeer",1972,"illustratie met onderschrift",2
412869594,"Aalsmeer",1973,"advertentie",104
412869594,"Aalsmeer",1973,"artikel",49
412869594,"Aalsmeer",1973,"familiebericht",15
412869594,"Aalsmeer",1974,"advertentie",179
412869594,"Aalsmeer",1974,"artikel",60
412869594,"Aalsmeer",1974,"familiebericht",15
412869594,"Aalsmeer",1975,"advertentie",97
412869594,"Aalsmeer",1975,"artikel",60
412869594,"Aalsmeer",1975,"familiebericht",6
412869594,"Aalsmeer",1976,"advertentie",92
412869594,"Aalsmeer",1976,"artikel",68
412869594,"Aalsmeer",1976,"familiebericht",8
412869594,"Aalsmeer",1976,"illustratie met onderschrift",2
412869594,"Aalsmeer",1977,"advertentie",107
412869594,"Aalsmeer",1977,"artikel",72
412869594,"Aalsmeer",1977,"familiebericht",8
412869594,"Aalsmeer",1978,"advertentie",359
412869594,"Aalsmeer",1978,"artikel",77
412869594,"Aalsmeer",1978,"familiebericht",9
412869594,"Aalsmeer",1978,"illustratie met onderschrift",1
412869594,"Aalsmeer",1979,"advertentie",361
412869594,"Aalsmeer",1979,"artikel",72
412869594,"Aalsmeer",1979,"familiebericht",4
412869594,"Aalsmeer",1979,"illustratie met onderschrift",1
412869594,"Aalsmeer",1980,"advertentie",368
412869594,"Aalsmeer",1980,"artikel",77
